Manufacturer Part Number,Supplier Part Number,Description,Package,Capacitance,Tolerance,Voltage Rating,Temperature Coefficient,Link
FCC0805N101J500BT,C5137484,100pF ±5% 50V Ceramic Capacitor C0G 0805,0805,100pF,±5%,50V,C0G,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C5137484.html
FCC1206B683K101DT,C7496643,68nF ±10% 100V Ceramic Capacitor X7R 1206,1206,68nF,±10%,100V,X7R,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C7496643.html
FCC1206X226K250HT,C7419438,22uF ±10% 25V Ceramic Capacitor X5R 1206,1206,22uF,±10%,25V,X5R,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C7419438.html
FCC1206X226K160HT,C5137635,22uF ±10% 16V Ceramic Capacitor X5R 1206,1206,22uF,±10%,16V,X5R,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C5137635.html
FCC0603N1R0C500CT,C5137611,1pF 50V Ceramic Capacitor C0G 0603,0603,1pF,,50V,C0G,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C5137611.html
FCC0603N101J500CT,C5137494,100pF ±5% 50V Ceramic Capacitor C0G 0603,0603,100pF,±5%,50V,C0G,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C5137494.html
FCC0402N200J500AT,C5137579,20pF ±5% 50V Ceramic Capacitor C0G 0402,0402,20pF,±5%,50V,C0G,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C5137579.html
FCC0402N180J500AT,C5137554,18pF ±5% 50V Ceramic Capacitor C0G 0402,0402,18pF,±5%,50V,C0G,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C5137554.html
FCC0603X476M6R3CT,C46635927,47uF ±20% 6.3V Ceramic Capacitor X5R 0603,0603,47uF,±20%,6.3V,X5R,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C46635927.html
FCC0603B474K500CT,C7467054,470nF ±10% 50V Ceramic Capacitor X7R 0603,0603,470nF,±10%,50V,X7R,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C7467054.html
FCC1206B475K500HT,C7467047,4.7uF ±10% 50V Ceramic Capacitor X7R 1206,1206,4.7uF,±10%,50V,X7R,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C7467047.html
FCC1206X476M250HT,C46635926,47uF ±20% 25V Ceramic Capacitor X5R 1206,1206,47uF,±20%,25V,X5R,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C46635926.html
FCC0805B474K500FT,C5137628,470nF ±10% 50V Ceramic Capacitor X7R 0805,0805,470nF,±10%,50V,X7R,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C5137628.html
FCC0603B332K500CT,C5137575,3.3nF ±10% 50V Ceramic Capacitor X7R 0603,0603,3.3nF,±10%,50V,X7R,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C5137575.html
FCC1206B103K501DT,C7467042,10nF ±10% 500V Ceramic Capacitor X7R 1206,1206,10nF,±10%,500V,X7R,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C7467042.html
FCC0805N330J500BT,C7419432,50V 33pF C0G ±5% 0805 Ceramic Capacitors RoHS,0805,33pF,±5%,50V,C0G,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C7419432.html
